Date,Open,High,Low,Close
10/07/2025,"30,571.13","30,612.13","30,278.19","30,351.72"
10/06/2025,"30,635.91","30,686.96","30,479.09","30,531.88"
10/03/2025,"30,205.05","30,490.04","30,205.05","30,471.68"
10/02/2025,"30,172.84","30,183.11","29,903.08","30,160.59"
10/01/2025,"30,006.44","30,182.57","30,006.44","30,107.67"
09/30/2025,"29,930.71","30,049.81","29,837.25","30,022.81"
09/29/2025,"29,856.51","29,980.48","29,856.51","29,971.91"
09/26/2025,"29,778.39","29,864.19","29,739.24","29,761.28"
09/25/2025,"29,661.59","29,768.31","29,544.81","29,731.98"
09/24/2025,"29,864.97","30,023.10","29,755.23","29,756.95"
09/23/2025,"30,005.73","30,066.60","29,811.72","29,815.63"
09/22/2025,"29,791.03","29,990.70","29,747.86","29,958.98"
09/19/2025,"29,620.03","29,791.45","29,531.52","29,768.36"
09/18/2025,"29,347.03","29,504.21","29,319.90","29,453.53"
09/17/2025,"29,289.11","29,465.14","29,201.87","29,321.66"
09/16/2025,"29,429.45","29,429.45","29,247.55","29,315.23"
09/15/2025,"29,302.14","29,432.49","29,241.81","29,431.02"
09/12/2025,"29,390.65","29,421.15","29,254.37","29,283.82"
09/11/2025,"29,192.40","29,418.76","29,178.58","29,407.89"
09/10/2025,"29,108.52","29,218.25","29,099.88","29,179.39"
09/09/2025,"29,018.03","29,123.11","29,018.03","29,063.01"
09/08/2025,"29,070.15","29,102.14","28,893.86","29,027.73"
